HR,HIP,Name,RA_hours,RA_deg,Dec,Mag
6527,85927,35Lam Sco,17.56013888888889,263.40208333333334,-37.10388888888889,1.63
4763,61084,Gam Cru,12.519416666666668,187.79125000000002,-57.11333333333334,1.63
1790,25336,24Gam Ori,5.418861111111111,81.28291666666667,6.349722222222222,1.64
1791,25428,112Bet Tau,5.438194444444445,81.57291666666667,28.6075,1.65
3685,45238,Bet Car,9.22,138.3,-69.71722222222222,1.68
1903,26311,46Eps Ori,5.603555555555555,84.05333333333333,-1.2019444444444445,1.7
4731,,Alp2Cru,12.443472222222223,186.65208333333334,-63.099444444444444,1.73
8425,109268,Alp Gru,22.13722222222222,332.0583333333333,-46.961111111111116,1.74
4905,62956,77Eps UMa,12.900472222222223,193.50708333333336,55.959722222222226,1.77
3207,39953,Gam2Vel,8.158888888888889,122.38333333333333,-47.336666666666666,1.78
4301,54061,50Alp UMa,11.062138888888889,165.93208333333334,61.75083333333333,1.79
1017,15863,33Alp Per,3.405388888888889,51.08083333333334,49.861111111111114,1.79
2693,34444,25Del CMa,7.139861111111111,107.09791666666666,-26.393333333333334,1.84
6879,90185,20Eps Sgr,18.40286111111111,276.04291666666666,-34.38472222222222,1.85
5191,67301,85Eta UMa,13.792333333333334,206.885,49.31333333333333,1.86
3307,41037,Eps Car,8.375222222222222,125.62833333333333,-59.50972222222222,1.86
6553,86228,The Sco,17.622,264.33,-42.99777777777778,1.87
2088,28360,34Bet Aur,5.992138888888889,89.88208333333334,44.9475,1.9
6217,82273,Alp TrA,16.811083333333332,252.16625,-69.02777777777777,1.92
2421,31681,24Gam Gem,6.628527777777778,99.42791666666668,16.399166666666666,1.93
7790,100751,Alp Pav,20.427472222222224,306.4120833333334,-56.735,1.94
3485,42913,Del Vel,8.745055555555554,131.17583333333332,-54.708333333333336,1.96
2891,36850,66Alp Gem,7.576666666666666,113.64999999999999,31.888333333333332,1.98
3748,46390,30Alp Hya,9.459777777777777,141.89666666666665,-8.658611111111112,1.98
